cohort allele allele_count all_alleles_count
12 7 24 136
12 7 25 506
12 7 26 1387
12 7 27 3858
12 7 28 8767
12 7 29 18152
12 7 30 33080
12 7 31 53251
12 7 32 76662
12 7 33 100041
12 7 34 116610
12 7 35 123989
12 7 36 119839
12 7 37 104772
12 7 38 84388
12 7 39 61553
12 7 40 41284
12 7 41 25193
12 7 42 14060
12 7 43 7073
12 7 44 3339
12 7 45 1324
12 7 46 488
12 7 47 161
12 7 48 41
12 7 49 13
12 7 50 3
12 8 12 1
12 8 14 2
12 8 15 28
12 8 16 120
12 8 17 597
12 8 18 2133
12 8 19 6663
12 8 20 16774
12 8 21 34799
12 8 22 62574
12 8 23 97375
12 8 24 130078
12 8 25 149124
12 8 26 149400
12 8 27 129558
12 8 28 97369
12 8 29 62420
12 8 30 34962
12 8 31 16485
12 8 32 6528
12 8 33 2247
12 8 34 590
12 8 35 146
12 8 36 25
12 8 37 2
12 9 16 1
12 9 19 1
12 9 20 4
12 9 21 13
12 9 22 44
12 9 23 142
12 9 24 504
12 9 25 1388
12 9 26 3545
12 9 27 7642
12 9 28 15024
12 9 29 26076
12 9 30 42269
12 9 31 61321
12 9 32 81553
12 9 33 99293
12 9 34 110158
12 9 35 113437
12 9 36 108181
12 9 37 95167
12 9 38 76685
12 9 39 57810
12 9 40 40902
12 9 41 26387
12 9 42 15745
12 9 43 8662
12 9 44 4464
12 9 45 2135
12 9 46 888
12 9 47 362
12 9 48 138
12 9 49 47
12 9 50 9
12 9 51 2
12 9 52 1
12 10 4 31612
12 10 5 156138
12 10 6 311946
12 10 7 312095
12 10 8 156751
12 10 9 31458
12 11 4 62638
12 11 5 250635
12 11 6 374460
12 11 7 249836
12 11 8 62431
12 12 14 15673
12 12 15 93665
12 12 16 233655
12 12 17 312798
12 12 18 234820
12 12 19 93872
12 12 20 15517
12 13 20 1048
12 13 21 9721
12 13 22 44204
12 13 23 116695
12 13 24 204690
12 13 25 246316
12 13 26 205280
12 13 27 117571
12 13 28 43868
12 13 29 9620
12 13 30 987
12 14 6 250122
12 14 7 499454
12 14 8 250424
12 15 24 237
12 15 25 2960
12 15 26 16259
12 15 27 53708
12 15 28 120839
12 15 29 193465
12 15 30 225416
12 15 31 193343
12 15 32 120919
12 15 33 53516
12 15 34 16143
12 15 35 2954
12 15 36 241
12 16 21 250079
12 16 22 500200
12 16 23 249721
12 17 24 1000000
12 18 4 1000000
12 19 25 125233
12 19 26 374454
12 19 27 375393
12 19 28 124920
12 20 25 62016
12 20 26 250595
12 20 27 375277
12 20 28 250015
12 20 29 62097
12 21 14 1000000
12 22 8 1000000
12 23 5 1000000
13 0 213 1
13 1 20 1
13 1 115 1
13 1 117 2
13 1 118 1
13 1 119 5
13 1 120 5
13 1 121 8
13 1 122 27
13 1 123 40
13 1 124 100
13 1 125 137
13 1 126 256
13 1 127 443
13 1 128 645
13 1 129 1017
13 1 130 1587
13 1 131 2424
13 1 132 3453
13 1 133 5070
13 1 134 6952
13 1 135 9691
13 1 136 13046
13 1 137 16759
13 1 138 21406
13 1 139 26582
13 1 140 31782
13 1 141 38064
13 1 142 43514
13 1 143 49447
13 1 144 53649
13 1 145 58041
13 1 146 60713
13 1 147 61709
13 1 148 61812
13 1 149 60586
13 1 150 57809
13 1 151 53188
13 1 152 48678
13 1 153 42517
13 1 154 36303
13 1 155 30885
13 1 156 25508
13 1 157 20396
13 1 158 15826
13 1 159 11648
13 1 160 8924
13 1 161 6248
13 1 162 4557
13 1 163 2973
13 1 164 2105
13 1 165 1347
13 1 166 868
13 1 167 534
13 1 168 320
13 1 169 178
13 1 170 93
13 1 171 61
13 1 172 26
13 1 173 18
13 1 174 10
13 1 175 3
13 1 176 2
13 2 7 3
13 2 8 7
13 2 9 72
13 2 10 383
13 2 11 1450
13 2 12 4395
13 2 13 10990
13 2 14 22724
13 2 15 40914
13 2 16 63601
13 2 17 87161
13 2 18 107069
13 2 19 118354
13 2 20 119161
13 2 21 109390
13 2 22 93432
13 2 23 73861
13 2 24 54498
13 2 25 37642
13 2 26 24061
13 2 27 14478
13 2 28 8095
13 2 29 4343
13 2 30 2236
13 2 31 984
13 2 32 414
13 2 33 177
13 2 34 64
13 2 35 25
13 2 36 12
13 2 37 3
13 2 38 1
13 3 2 3
13 3 3 26
13 3 4 153
13 3 5 623
13 3 6 2054
13 3 7 5464
13 3 8 11996
13 3 9 23311
13 3 10 39841
13 3 11 60233
13 3 12 81775
13 3 13 100327
13 3 14 112636
13 3 15 115474
13 3 16 109438
13 3 17 96151
13 3 18 77673
13 3 19 58998
13 3 20 41508
13 3 21 27102
13 3 22 16582
13 3 23 9379
13 3 24 4890
13 3 25 2484
13 3 26 1123
13 3 27 458
13 3 28 200
13 3 29 70
13 3 30 23
13 3 31 3
13 3 32 1
13 3 33 1
13 4 14 1
13 4 15 5
13 4 16 5
13 4 17 43
13 4 18 121
13 4 19 366
13 4 20 1015
13 4 21 2384
13 4 22 5068
13 4 23 9757
13 4 24 17194
13 4 25 27742
13 4 26 41071
13 4 27 56831
13 4 28 72856
13 4 29 87153
13 4 30 96923
13 4 31 101572
13 4 32 99753
13 4 33 90998
13 4 34 78597
13 4 35 63985
13 4 36 49199
13 4 37 35821
13 4 38 24648
13 4 39 15841
13 4 40 9457
13 4 41 5587
13 4 42 3070
13 4 43 1601
13 4 44 772
13 4 45 323
13 4 46 148
13 4 47 61
13 4 48 16
13 4 49 11
13 4 50 4
13 4 51 1
13 5 1 10895
13 5 2 41434
13 5 3 95740
13 5 4 155761
13 5 5 189682
13 5 6 181535
13 5 7 142821
13 5 8 93804
13 5 9 50985
13 5 10 23291
13 5 11 9045
13 5 12 2726
13 5 13 758
13 5 14 157
13 5 15 23
13 5 16 1
13 6 3 105
13 6 4 1581
13 6 5 9641
13 6 6 34741
13 6 7 87378
13 6 8 156791
13 6 9 210133
13 6 10 210249
13 6 11 156201
13 6 12 87064
13 6 13 34882
