cohort allele allele_count all_alleles_count
14 10 8 374845
14 10 9 125360
14 11 3 7829
14 11 4 54568
14 11 5 163903
14 11 6 273284
14 11 7 273765
14 11 8 164151
14 11 9 54565
14 11 10 7935
14 12 13 1
14 12 14 18
14 12 15 159
14 12 16 950
14 12 17 3761
14 12 18 11238
14 12 19 26739
14 12 20 51483
14 12 21 83457
14 12 22 114018
14 12 23 135646
14 12 24 144610
14 12 25 135726
14 12 26 114229
14 12 27 83015
14 12 28 52022
14 12 29 26925
14 12 30 11234
14 12 31 3670
14 12 32 927
14 12 33 158
14 12 34 14
14 13 2 3868
14 13 3 27543
14 13 4 85697
14 13 5 164563
14 13 6 218824
14 13 7 219022
14 13 8 163605
14 13 9 85827
14 13 10 27098
14 13 11 3953
14 14 2 7929
14 14 3 54442
14 14 4 164496
14 14 5 272770
14 14 6 273105
14 14 7 164719
14 14 8 54682
14 14 9 7857
14 15 13 6
14 15 14 146
14 15 15 1018
14 15 16 5252
14 15 17 18001
14 15 18 47526
14 15 19 94346
14 15 20 148673
14 15 21 184904
14 15 22 185279
14 15 23 148316
14 15 24 94797
14 15 25 47539
14 15 26 17870
14 15 27 5199
14 15 28 1011
14 15 29 105
14 15 30 12
14 16 10 31074
14 16 11 125177
14 16 12 218765
14 16 13 250082
14 16 14 218730
14 16 15 125169
14 16 16 31003
14 17 12 7776
14 17 13 54592
14 17 14 164043
14 17 15 272618
14 17 16 274295
14 17 17 164269
14 17 18 54383
14 17 19 8024
14 18 6 1000000
14 19 8 62419
14 19 9 249749
14 19 10 375608
14 19 11 249878
14 19 12 62346
14 20 18 250708
14 20 19 499823
14 20 20 249469
14 21 10 62673
14 21 11 250318
14 21 12 374446
14 21 13 250291
14 21 14 62272
14 22 5 125348
14 22 6 374549
14 22 7 375234
14 22 8 124869
14 23 6 499414
14 23 7 500586
14 24 6 499469
14 24 7 500531
14 25 7 1000000
15 0 2 1
15 0 94 1
15 1 76 1
15 1 112 1
15 1 113 3
15 1 114 4
15 1 115 12
15 1 116 18
15 1 117 54
15 1 118 91
15 1 119 121
15 1 120 265
15 1 121 406
15 1 122 607
15 1 123 1051
15 1 124 1617
15 1 125 2417
15 1 126 3478
15 1 127 5253
