Indiv	NatalYear	CoreNestling	ImmCohort	InclBr
1453-57405	NA	N	1991	Y
1453-57408	NA	N	1991	Y
1453-57411	NA	N	1991	Y
1453-57412	NA	N	1991	Y
1453-57417	NA	N	1991	Y
1453-57420	NA	N	1991	Y
1453-57423	NA	N	1991	Y
1453-57424	NA	N	1992	Y
1453-57425	NA	N	1992	Y
1453-57427	NA	N	1991	Y
1453-57428	NA	N	1991	Y
1453-57429	NA	N	1991	Y
1453-57432	NA	N	1991	Y
1453-57433	NA	N	1991	Y
1453-57434	NA	N	1991	Y
1453-57436	NA	N	1991	Y
1453-57441	NA	N	1992	Y
1453-57442	NA	N	1991	Y
1453-57443	NA	N	1991	Y
1453-57445	NA	N	1991	Y
1453-57450	1993	N	NA	N
1453-57451	1993	N	NA	N
1453-57453	NA	N	1991	Y
1453-57454	1993	N	NA	N
1453-57455	1993	N	NA	N
1453-57456	1993	N	NA	N
1453-57457	1993	N	NA	N
1453-57460	1993	N	NA	N
1453-57461	1993	N	NA	N
1453-57462	1993	N	NA	N
1453-57470	1993	N	NA	N
1453-57471	1993	N	NA	N
1453-57478	1993	N	NA	N
1453-57479	1993	N	NA	N
1453-57480	1993	N	NA	N
1453-57481	1993	N	NA	N
1453-57482	1993	N	NA	N
1453-57484	1993	N	NA	N
1453-57485	1993	N	NA	N
1453-57486	1993	N	NA	N
1453-57487	1993	N	NA	N
1453-57488	1993	N	NA	N
1453-57489	1993	N	NA	Y
1453-57490	1993	N	NA	N
1453-57494	1993	N	NA	Y
1453-57495	1993	N	NA	N
1453-57496	1993	N	NA	N
1453-57497	1993	N	NA	N
1453-57498	1993	N	NA	N
1453-57499	1993	N	NA	N
1453-57659	NA	N	1993	N
1453-63522	1993	Y	NA	Y
1453-63523	1993	Y	NA	N
1453-63524	1993	Y	NA	Y
1453-63525	1993	Y	NA	Y
1453-63536	1993	Y	NA	N
1453-63537	1993	Y	NA	N
1453-63550	1993	Y	NA	N
1453-63551	1993	Y	NA	N
1453-63552	1993	Y	NA	N
1453-63553	1993	Y	NA	N
1453-63554	1993	Y	NA	N
1453-63555	1993	Y	NA	N
1453-63556	1993	Y	NA	N
1453-63566	1993	Y	NA	N
1453-63567	1993	Y	NA	Y
1453-63568	1993	Y	NA	N
1453-63569	1993	Y	NA	N
1453-63570	1993	Y	NA	N
1453-63571	1993	Y	NA	N
1453-63574	NA	N	1991	Y
1453-63575	1993	Y	NA	N
1453-63576	1993	Y	NA	N
1453-63577	1993	Y	NA	Y
1453-63578	1993	Y	NA	Y
1453-63579	NA	N	1991	Y
1453-63580	1993	Y	NA	Y
1453-63581	1993	Y	NA	N
1453-63582	1993	Y	NA	N
1453-63589	1993	Y	NA	Y
1453-63590	1993	Y	NA	N
1453-63604	1993	N	NA	N
1453-63605	1993	N	NA	N
1453-63606	1993	N	NA	N
1453-63607	1993	N	NA	N
1453-63608	1993	N	NA	N
1453-63611	1993	N	NA	Y
1453-63612	1993	N	NA	N
1453-63613	1993	N	NA	Y
1453-63614	1993	N	NA	Y
1453-63629	1993	N	NA	N
1453-63630	1993	N	NA	N
1453-63631	1993	N	NA	N
1453-63632	1993	N	NA	Y
1453-63638	1993	N	NA	N
1453-63650	1993	N	NA	N
1453-63651	1993	N	NA	N
1453-63652	1993	N	NA	N
1453-63653	NA	N	1991	Y
1453-63661	1993	Y	NA	Y
1453-63662	1993	Y	NA	N
1453-63663	1993	Y	NA	Y
1453-63667	1993	Y	NA	Y
1453-63668	1993	Y	NA	N
1453-63673	1993	Y	NA	N
1453-63674	1993	Y	NA	N
1453-63682	1993	Y	NA	N
1453-63684	NA	N	1993	Y
1453-63685	NA	N	1992	Y
1453-63687	NA	N	1992	Y
UM13_CMAC93m	NA	N	1992	Y
1453-63691	NA	N	1992	Y
1453-63692	NA	N	1992	Y
1453-63697	NA	N	1993	Y
UB7f_2k	NA	N	1991	N
