Indiv Status
1063-48968 0
1063-48969 0
1063-48970 0
1063-48971 0
1063-48972 0
1063-48973 0
1063-48974 0
1063-48975 0
1063-48976 0
1063-48977 0
1063-48978 0
1063-48979 0
1063-48980 0
1063-48981 0
1063-48982 0
1063-48983 0
1063-48984 0
1063-48985 0
1063-48986 1
1063-48987 0
1063-48988 0
1063-48989 0
1063-48990 0
1063-48991 0
1063-48992 0
1063-48993 0
1063-48994 0
1063-48995 0
1063-48996 0
1063-48997 0
1063-48998 0
1063-48999 0
1063-49000 0
1163-68201 0
1163-68202 0
1163-68203 0
1163-68204 0
1163-68205 0
1163-68206 0
1163-68207 0
1163-68208 0
1163-68209 0
1163-68210 0
1163-68211 0
1163-68212 0
1163-68213 0
1163-68214 0
1163-68215 0
1163-68216 0
1163-68217 0
1163-68218 0
1163-68219 0
1163-68220 0
1163-68221 0
1163-68222 0
1163-68223 0
1163-68224 0
1163-68225 0
1163-68226 0
1163-68227 0
1163-68228 0
1163-68229 0
1163-68230 0
1163-68231 0
1163-68232 0
1163-68233 0
1163-68234 0
1163-68235 0
1163-68236 0
1163-68237 0
1163-68238 0
1163-68239 0
1163-68240 0
1163-68241 0
1163-68242 0
1163-68243 0
1163-68244 0
1163-68245 0
1163-68246 0
1163-68247 0
1163-68248 0
1163-68249 0
1163-68250 0
1163-68251 0
1163-68252 0
1163-68253 0
1163-68254 0
1163-68255 0
1163-68256 0
1163-68257 0
1163-68258 0
1163-68259 0
1163-68260 0
1163-68261 0
1163-68262 0
1163-68263 0
1163-68264 0
1163-68265 0
1163-68266 0
1163-68267 0
1163-68268 0
1163-68269 0
1163-68270 0
1163-68271 0
1163-68272 0
1163-68273 0
1163-68274 0
1163-68275 0
1163-68276 0
1163-68277 0
1163-68278 0
1163-68279 0
1163-68280 0
1163-68281 0
1163-68282 0
1163-68283 0
1163-68284 0
1163-68285 0
1163-68285.1 0
1163-68286 0
1163-68287 0
1163-68288 0
1163-68289 0
1163-68290 0
1163-68291 0
1163-68292 0
1163-68293 0
1163-68294 0
1163-68295 0
1163-68296 0
1163-68297 0
1163-68298 0
1163-68299 0
1163-68300 0
1173-04901 0
1173-04902 0
1173-04903 0
1173-04904 0
1173-04905 0
1173-04906 0
1173-04907 0
1173-04908 0
1173-04909 0
1173-04910 0
1173-04911 0
1173-04912 0
1173-04913 0
1173-04914 0
1173-04915 0
1173-04916 0
1173-04917 0
1173-04918 0
1173-04919 0
1173-04921 0
1173-04922 0
1173-04923 0
1173-04924 0
1173-04925 0
1173-04926 0
1173-04927 0
1173-04928 0
1173-04929 0
1173-04930 0
1173-04931 0
1173-04932 0
1173-04933 0
1173-04934 0
1173-04935 0
1173-04936 0
1173-04937 0
1173-04938 0
1173-04939 0
1173-04940 0
1173-04941 0
1173-04942 0
1173-04943 0
1173-04944 0
1173-04945 0
1173-04946 0
1173-04947 0
1173-04948 0
1173-04949 0
1173-04950 0
1173-04951 0
1173-04952 0
1173-04953 0
1173-04954 0
1173-04955 0
1173-04956 0
1173-04957 0
1173-04958 0
1173-04959 0
1173-04960 0
1173-04961 0
1173-04962 0
1173-04963 0
1173-04964 0
1173-04965 0
1173-04966 0
1173-04967 0
1173-04968 0
1173-04969 0
1173-04970 0
1173-04971 0
1173-04972 0
1173-04973 0
1173-04974 0
1173-04975 0
1173-04976 0
1173-04977 0
1173-04978 0
1173-04979 0
1173-04980 0
1173-04981 0
1173-04982 0
1173-04983 0
1173-04984 0
1173-04985 0
1173-04986 0
1173-04987 0
1173-04988 0
1173-04989 0
1173-04990 0
1173-04991 0
1173-04992 0
1173-04993 0
1173-04994 0
1173-04995 0
1173-04996 0
1173-04997 0
1173-04998 0
1173-04999 0
1173-05000 0
1323-47978 0
1323-63736 0
1383-27155 0
1383-27250 0
1383-27285 0
1423-42601 0
1423-42605 0
1423-42618 0
1423-42640 0
1423-42665 0
1423-42668 0
1423-42680 0
1423-42684 0
1423-42691 0
1423-42697 0
1423-42713 0
1423-42714 0
1423-42735 0
1423-42776 0
1423-42821 0
1423-42825 0
1423-42885 0
1423-42893 0
1423-42894 0
1423-42897 0
1423-42898 0
1433-58304 0
1433-58305 0
1433-58306 0
1433-58307 0
1433-58308 0
1433-58309 0
1433-58310 0
1433-58311 0
1433-58315 0
1433-58316 0
1433-58317 0
1433-58318 0
1433-58319 0
1433-58320 0
1433-58321 0
1433-58322 0
1433-58323 0
1433-58324 0
1433-58325 0
1433-58326 0
1433-58327 0
1433-58328 0
1433-58329 0
1433-58330 0
1433-58331 0
1433-58332 0
1433-58333 0
1433-58334 0
1433-58335 0
1433-58336 0
1433-58337 0
1433-58338 0
1433-58339 0
1433-58340 0
1433-58342 0
1433-58343 0
1433-58344 0
1433-58345 0
1433-58346 0
1433-58347 0
1433-58348 0
1433-58349 0
1433-58350 0
1433-58351 0
1433-58352 0
1433-58353 0
1433-58354 0
1433-58355 0
1433-58356 0
1433-58357 0
1433-58358 0
1433-58359 0
1433-58360 0
1433-58361 0
1433-58363 0
1433-58364 0
1433-58365 0
1433-58366 0
1433-58367 0
1433-58368 0
1433-58369 0
1433-58370 0
1433-58371 0
1433-58372 0
1433-58373 0
1433-58374 0
1433-58375 0
1433-58376 0
1433-58377 0
1433-58378 0
1433-58379 0
1433-58380 0
1433-58381 0
1433-58382 0
1433-58383 0
1433-58384 0
1433-58385 0
1433-58386 0
1433-58387 0
1433-58388 0
1433-58389 0
1433-58390 0
1433-58391 0
1433-58392 0
1433-58393 0
1433-58394 0
1433-58395 0
1433-58396 0
1433-58397 0
1433-58398 0
1433-58399 0
1433-58400 0
1433-58407 0
1433-58417 0
1433-87405 0
1433-87410 0
1433-87412 0
1433-87417 0
1433-87421 0
1433-87424 0
1433-87426 0
1433-87427 0
1433-87429 0
1433-87437 0
1433-87443 0
1433-87452 0
1433-87503 0
1433-87504 0
1433-87512 0
1433-87516 0
1433-87518 0
1433-87520 0
1433-87522 0
1433-87526 0
1433-87529 0
1433-87542 0
1433-87551 0
1433-87565 0
1433-87568 0
1433-87581 0
1433-87592 0
1433-87595 0
1433-87596 0
1433-87597 0
1433-87602 0
1433-87604 0
1433-87606 0
1433-87608 0
1433-87610 0
1433-87611 0
1433-87613 0
1433-87617 0
1433-87620 0
1433-87622 0
1433-87623 0
1433-87636 0
1433-87639 0
1433-87640 0
1433-87641 0
1433-87646 0
1433-87649 0
1433-87654 0
1433-87659 0
1433-87698 0
1433-92044 0
1433-92930 0
1433-92935 0
1433-92937 0
1433-92938 0
1433-92944 0
1433-92946 0
1433-92948 0
1433-92951 0
1433-92983 0
1433-92986 0
1433-93031 0
1433-93034 0
1433-93038 0
1433-93041 0
1433-93088 0
1433-93100 0
1433-93116 0
1433-93121 0
1433-93125 0
1433-93151 0
1433-93152 0
1433-93163 0
1433-93183 0
1433-93185 0
1433-93186 0
1433-93187 0
1433-93193 0
1433-93198 0
1433-93200 0
1453-38901 0
1453-38902 0
1453-38903 0
1453-38904 0
1453-38905 0
1453-38906 0
1453-38907 0
1453-38908 0
1453-38909 0
1453-38910 0
1453-38911 0
1453-38912 0
1453-38913 0
1453-38914 0
1453-38916 0
1453-38917 0
1453-38918 0
1453-38919 0
1453-38920 0
1453-38921 0
1453-38922 0
1453-38923 0
1453-38924 0
1453-38925 0
1453-38926 0
1453-38927 0
1453-38928 0
1453-38929 0
1453-38930 0
1453-38931 0
1453-38932 0
1453-38933 0
1453-38935 0
1453-38936 0
1453-38937 0
1453-38938 0
1453-38939 0
1453-38940 0
1453-38940.1 0
1453-38941 0
1453-38942 0
1453-38943 0
1453-38944 0
1453-38945 0
1453-38946 0
1453-38947 0
1453-38948 0
1453-38949 0
1453-38950 0
1453-38951 0
1453-38952 0
1453-38953 0
1453-38954 0
1453-38955 0
1453-38956 0
1453-38957 0
1453-38958 0
1453-38959 0
1453-38960 0
1453-38961 0
1453-38962 0
1453-38963 0
1453-38964 0
1453-38965 0
1453-38966 0
1453-38967 0
1453-38968 0
1453-38969 0
1453-38970 0
1453-38972 0
1453-38973 0
1453-38974 0
1453-38975 0
1453-38976 0
1453-38977 0
1453-38978 0
1453-38979 0
1453-38980 0
1453-38981 0
1453-38982 0
1453-38983 0
1453-38984 0
1453-38985 0
1453-38986 0
1453-38987 0
1453-38988 0
1453-38989 0
1453-38990 0
1453-38991 0
1453-38992 0
1453-38993 0
1453-38994 0
1453-38995 0
1453-38996 0
1453-38997 0
1453-38998 0
1453-38999 0
1453-39000 0
1453-39001 0
1453-39002 0
1453-39003 0
1453-39005 0
1453-39006 0
1453-39007 0
1453-39008 0
1453-39009 0
1453-39010 0
1453-39011 0
1453-39012 0
1453-39013 0
1453-39015 0
1453-39016 0
1453-39017 0
1453-39018 0
1453-39019 0
1453-39020 0
1453-39021 0
1453-39022 0
1453-39023 0
1453-39024 0
1453-39025 0
1453-39026 0
1453-39027 0
1453-39028 0
1453-39029 0
1453-39030 0
1453-39031 0
1453-39032 0
1453-39033 0
1453-39034 0
1453-39035 0
1453-39036 0
1453-39037 0
1453-39038 0
1453-39039 0
1453-39040 0
1453-39041 0
1453-39042 0
1453-39043 0
1453-39044 0
1453-39045 0
1453-39046 0
1453-39047 0
1453-39048 0
1453-39049 0
1453-39050 0
1453-39051 0
1453-39052 0
1453-39053 0
1453-39054 0
1453-39055 0
1453-39056 0
