Indiv NatalYear CoreNestling ImmCohort InclBr
3725 2003 N NA N
3735 NA N 2002 N
3737 1995 N NA Y
3738 NA N 2002 N
3739 NA N 2002 N
3741 NA N 2002 N
3742 2004 N NA N
3743 2004 N NA N
3744 2004 N NA N
3745 2004 N NA N
3746 2004 N NA N
6895 NA N 2001 Y
6896 NA N 2001 Y
3748 NA N NA N
3749 NA N 2003 N
3755 2004 N NA N
3757 2004 N NA N
3761 2004 N NA N
3762 2004 N NA N
3763 2004 N NA N
3782 2004 N NA N
3783 2004 N NA N
3784 2004 N NA N
3805 2003 Y NA N
3806 2003 Y NA N
3809 NA N NA N
3810 NA N 2002 N
3811 NA N 2002 N
3812 NA N 2002 N
3813 NA N 2003 N
3814 NA N 2002 N
3815 2004 Y NA N
3816 2004 Y NA N
3821 2004 Y NA N
3822 2004 Y NA N
3823 2004 Y NA N
3830 2004 Y NA N
3831 2004 Y NA N
3832 2004 Y NA N
3833 2004 Y NA N
3840 2004 Y NA N
3841 2004 Y NA N
3842 2004 Y NA N
3843 2004 Y NA N
3844 2004 Y NA N
3845 2004 Y NA N
3846 2004 Y NA N
3847 2004 Y NA N
3848 2004 Y NA N
3849 2004 Y NA N
3850 2004 Y NA N
3851 2004 Y NA N
3852 2004 Y NA N
3860 2004 Y NA N
3861 2004 Y NA N
3862 2004 Y NA N
3863 2004 Y NA N
3883 2004 Y NA N
3884 2004 Y NA N
3885 2004 Y NA N
3926 NA N 2012 N
3939 NA N 2012 N
3948 NA N 2003 N
3949 NA N 2004 N
3951 2004 N NA N
3952 2004 N NA N
3953 2004 N NA N
3954 NA N 2002 N
6883 NA N 2001 N
6884 NA N 2001 N
3973 NA N NA N
3974 2004 Y NA N
3975 2004 Y NA N
3976 2004 Y NA N
3984 2004 Y NA N
3985 2004 Y NA N
3998 2004 Y NA N
4015 2004 Y NA N
4016 2004 Y NA N
4021 2004 Y NA N
4022 2004 Y NA N
4023 2004 Y NA N
4024 2004 Y NA N
4025 2004 Y NA N
4026 2004 Y NA N
4027 2004 Y NA N
4028 NA N 2003 N
4030 NA N 2004 N
4031 NA N 2003 N
6887 NA N 2003 N
6888 NA N 2003 N
4032 NA N NA N
4036 2005 Y NA N
4042 2005 Y NA N
4043 2005 Y NA N
4044 2005 Y NA N
4045 NA N 2003 N
4058 2004 N NA N
4059 2004 N NA N
4060 2004 N NA N
4061 2004 N NA N
4062 2004 N NA N
4071 2004 N NA N
4072 2004 N NA N
4073 2004 N NA N
4074 2004 N NA N
4075 2004 N NA N
4093 2004 N NA N
4094 2004 N NA N
4095 2004 N NA N
4096 2004 N NA N
4107 NA N NA N
4108 2005 N NA N
4109 2005 N NA N
4111 2005 N NA N
6877 NA N 2002 Y
6878 NA N 2002 Y
4112 NA N NA N
4129 2005 N NA N
4130 2005 N NA N
4131 2005 N NA N
4137 2005 N NA N
4138 2005 N NA N
4139 2005 N NA N
4144 2005 N NA N
4154 2005 N NA N
4156 NA N 2005 N
4157 NA N 2005 N
4158 NA N 2005 N
4159 NA N 2005 N
4160 NA N 2005 N
4161 NA N 2005 N
4164 NA N 2005 N
4165 NA N 2007 N
4172 2005 Y NA N
4173 2005 Y NA N
4174 2005 Y NA N
4217 NA N NA N
4233 2005 Y NA N
4234 2005 Y NA N
4250 2005 Y NA N
4251 2005 Y NA N
4252 2005 Y NA N
4264 2005 N NA N
4265 2005 N NA N
4287 2005 N NA N
4288 2005 N NA N
4289 2005 N NA N
4290 2005 N NA N
4324 2005 N NA N
4325 2005 N NA N
4335 NA N 1994 Y
4345 NA N 2004 N
4347 NA N 2004 N
4348 NA N 2004 N
4349 NA N 2005 N
4350 2006 N NA N
4351 2006 N NA N
4352 2006 N NA N
4353 2006 N NA N
4354 2006 N NA N
4375 2005 Y NA N
4376 2005 Y NA N
4383 2005 Y NA N
4384 2005 Y NA N
4385 2005 Y NA N
4386 2005 Y NA N
6912 NA N 2003 N
4400 2005 Y NA N
4402 2006 Y NA N
4403 2006 Y NA N
4406 NA N 2004 N
4420 2006 Y NA N
4421 2006 Y NA N
4422 NA N 2004 N
4423 2006 Y NA N
4424 2006 Y NA N
4425 2006 Y NA N
6879 NA N 2003 N
6880 NA N 2003 N
4433 NA N NA N
4437 2006 Y NA N
4438 2006 Y NA N
4439 2006 Y NA N
4467 2006 N NA N
4469 2006 N NA N
4470 2006 N NA N
4497 2006 N NA N
4507 2006 N NA N
4508 2006 N NA N
