1053-14402,1
1053-14405,2
1053-14410,2
1053-14411,2
1053-14420,1
1053-14421,2
1053-14424,2
1053-14429,1
1053-14431,2
1053-14433,1
1053-14439,2
1053-14440,1
1053-14441,1
1053-14442,2
1053-14444,2
1053-14446,1
1053-14449,1
1053-14450,2
1053-14451,2
1053-14454,1
1053-14455,1
1053-14460,2
1053-14463,1
1053-14467,1
1053-14470,1
1053-14472,1
1053-14473,2
1053-14474,1
1053-14477,1
1053-14482,2
1053-14483,1
1053-14484,1
1053-14489,2
1053-14490,1
1053-14492,2
1053-14495,1
1053-14498,2
1053-14499,1
1053-14500,2
1053-56501,1
1053-56503,1
1053-56506,2
1053-56509,2
1053-56510,1
1053-56511,1
1053-56515,1
1053-56518,2
1053-56519,1
1053-56534,1
1053-56536,2
1053-56537,1
1053-56559,1
1053-56561,1
1053-56564,1
1053-56565,1
1053-56566,1
1053-56571,2
1053-56573,1
1053-56591,2
1053-56592,1
1053-56601,1
1053-56602,2
1053-56603,2
1053-56607,2
1053-56610,2
1053-56624,2
1053-56632,2
1053-56638,1
1053-56642,1
1053-56660,2
1053-56664,1
1053-56665,2
1053-56671,1
1053-56672,2
1053-56686,2
1053-56687,2
1053-56692,2
1053-56708,2
1053-56711,2
1053-56723,2
1053-56724,1
1053-56725,2
1053-56726,2
1053-56728,2
1053-56729,2
1053-56730,2
1053-56731,1
1053-56732,2
1053-56733,2
1053-56734,1
1053-56735,2
1053-56736,1
1053-56737,1
1053-56738,1
1053-56739,1
1053-56740,2
1053-56741,1
1053-56742,1
1053-56743,2
1053-56744,1
1053-56745,2
1053-56746,2
1053-56747,2
1053-56748,1
1053-56749,2
1053-56750,2
1053-56751,1
1053-56752,2
1053-56753,1
1053-56754,1
1053-56755,2
1053-56756,2
1053-56757,1
1053-56758,2
1053-56759,1
1053-56760,2
1053-56761,1
1053-56762,1
1053-56763,1
1053-56764,1
1053-56765,1
1053-56766,1
1053-56767,1
1053-56768,2
1053-56769,2
1053-56770,1
1053-56771,1
1053-56772,1
1053-56773,1
1053-56774,2
1053-56775,1
1053-56776,2
1053-56777,1
1053-56778,2
1053-56779,1
1053-56780,1
1053-56782,2
1053-56783,2
1053-56784,1
1053-56785,1
1053-56786,1
1053-56787,1
1053-56788,1
1053-56789,2
1053-56790,1
1053-56791,1
1053-56792,1
1053-56794,2
1053-56795,2
1053-56796,1
1053-56797,1
1053-56798,2
1053-56799,1
1053-56800,1
1063-42801,2
1063-42802,1
1063-42803,2
1063-42804,2
1063-42805,1
1063-42806,1
1063-42807,2
1063-42808,2
1063-42809,2
1063-42810,2
1063-42811,2
1063-42813,1
1063-42814,1
1063-42815,1
1063-42816,1
1063-42817,1
1063-42818,2
1063-42819,2
1063-42820,1
1063-42821,2
1063-42822,2
1063-42823,1
1063-42824,1
1063-42825,2
1063-42826,1
1063-42827,1
1063-42828,2
1063-42829,1
1063-42830,2
1063-42831,1
1063-42832,2
1063-42834,2
1063-42835,2
1063-42836,2
1063-42837,1
1063-42838,2
1063-42839,1
1063-42840,1
1063-42841,1
1063-42842,1
1063-42843,1
1063-42844,2
1063-42845,1
1063-42846,2
1063-42847,1
1063-42848,1
1063-42849,1
1063-42850,2
1063-42851,1
1063-42852,2
1063-42853,1
1063-42854,2
1063-42855,1
1063-42856,2
1063-42857,2
1063-42858,1
1063-42859,2
1063-42860,2
1063-42861,1
1063-42862,1
1063-42863,2
1063-42864,2
1063-42865,2
1063-42866,2
1063-42867,2
1063-42868,1
1063-42869,1
1063-42870,2
1063-42872,2
1063-42873,1
1063-42874,2
1063-42875,2
1063-42876,1
1063-42877,2
1063-42878,1
1063-42879,2
1063-42880,1
1063-42881,1
1063-42882,2
1063-42883,2
1063-42884,1
1063-42885,1
1063-42886,1
1063-42887,2
1063-42888,1
1063-42889,2
1063-42890,1
1063-42891,2
1063-42892,1
1063-42893,1
1063-42894,2
1063-42895,2
1063-42896,1
1063-42897,1
1063-42898,2
1063-42899,1
1063-42900,1
1063-42910,2
1063-42913,2
1063-42969,2
1063-43001,1
1063-43002,2
1063-43003,1
1063-43004,1
1063-43005,1
1063-43007,2
1063-43008,2
1063-43009,1
1063-43010,1
1063-43011,1
1063-43012,1
1063-43013,2
1063-43014,2
1063-43015,1
1063-43016,2
1063-43017,1
1063-43018,2
1063-43019,1
1063-43020,2
1063-43021,2
1063-43022,1
1063-43023,2
1063-43024,2
1063-43025,2
1063-43026,2
1063-43027,2
1063-43028,1
1063-43029,2
1063-43030,1
1063-43031,2
1063-43032,2
1063-43033,2
1063-43034,1
1063-43035,1
1063-43036,2
1063-43037,1
1063-43038,2
1063-43039,1
1063-43040,1
1063-43041,1
1063-43042,2
1063-43043,1
1063-43044,1
1063-43045,1
1063-43046,2
1063-43047,2
1063-43048,2
1063-43049,2
1063-43050,2
1063-43051,1
1063-43052,1
1063-43053,2
1063-43054,1
1063-43055,1
1063-43056,1
1063-43057,1
1063-43058,2
1063-43059,2
1063-43060,1
1063-43061,2
1063-43062,1
1063-43063,2
1063-43064,2
1063-43065,2
1063-43066,2
1063-43067,2
1063-43068,1
1063-43069,1
1063-43070,1
1063-43071,1
1063-43072,1
1063-43073,2
1063-43074,1
1063-43075,1
1063-43076,2
1063-43077,2
1063-43078,2
1063-43079,1
1063-43080,2
1063-43081,2
1063-43082,1
1063-43083,1
1063-43084,2
1063-43085,1
1063-43086,1
1063-43087,2
1063-43088,1
1063-43089,1
1063-43090,2
1063-43091,1
1063-43092,2
1063-43093,2
1063-43094,2
1063-43095,2
1063-43096,1
1063-43097,1
1063-43098,2
1063-43099,2
1063-43100,2
1063-43101,2
1063-43102,2
1063-43103,2
1063-43104,2
1063-43105,2
1063-43106,2
1063-43107,1
1063-43108,1
1063-43109,1
1063-43110,2
1063-43111,1
1063-43112,1
1063-43113,2
1063-43114,1
1063-43115,1
1063-43116,1
1063-43117,1
1063-43118,2
1063-43119,2
1063-43120,2
1063-43121,1
1063-43122,1
1063-43123,2
1063-43124,2
1063-43125,2
1063-43126,2
1063-43127,2
1063-43129,1
1063-43130,1
1063-43131,1
1063-43132,1
1063-43133,1
1063-43134,1
1063-43135,1
1063-43136,1
1063-43137,2
1063-43138,1
1063-43139,2
1063-43140,1
1063-43141,1
1063-43142,2
1063-43143,1
1063-43144,2
1063-43145,1
1063-43146,1
1063-43147,2
1063-43148,2
1063-43149,2
1063-43150,2
1063-43151,1
1063-43152,1
1063-43153,1
1063-43154,1
1063-43155,1
1063-43156,1
1063-43157,1
1063-43158,2
1063-43159,2
1063-43160,1
